#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_002287175.1	PRJNA300714	SAMN04229035	LMVM00000000.1	na	2161	2161	Methanobacterium bryantii	strain=M.o.H.		latest	Contig	Major	Full	2017/09/06	ASM228717v1	University of California Santa Barbara	GCF_002287175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/175/GCA_002287175.1_ASM228717v1		assembly from type material
GCA_000302455.1	PRJNA169610	SAMN02471940	AMPO00000000.1	representative genome	1204725	2162	Methanobacterium formicicum DSM 3637	strain=DSM 3637		latest	Contig	Major	Full	2012/10/02	ASM30245v1	Deparment of Genetics, University of Seville, Spain	GCF_000302455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/455/GCA_000302455.1_ASM30245v1		
GCA_000762265.1	PRJNA49593	SAMN03085433		representative genome	2162	2162	Methanobacterium formicicum	strain=BRM9		latest	Complete Genome	Major	Full	2014/10/02	ASM76226v1	PGgRc	GCF_000762265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/265/GCA_000762265.1_ASM76226v1		
GCA_000953115.1	PRJEB7090	SAMEA2724982		na	2162	2162	Methanobacterium formicicum			latest	Complete Genome	Major	Full	2014/09/10	DSM1535	CEBITEC	GCF_000953115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535		
GCA_001316325.1	PRJDB899	SAMD00016804	BBES00000000.1	na	1300163	2162	Methanobacterium formicicum JCM 10132	strain=JCM 10132		latest	Contig	Major	Full	2015/10/01	ASM131632v1	The University of Tokyo	GCF_001316325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/325/GCA_001316325.1_ASM131632v1	many frameshifted proteins	assembly from type material
GCA_001458655.1	PRJEB7298	SAMEA2779801		na	2162	2162	Methanobacterium formicicum		Mb9	latest	Complete Genome	Major	Full	2015/11/16	Mb9	CEBITEC	GCF_001458655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9		
GCA_003134315.1	PRJNA386568	SAMN08179366	PLAP00000000.1	na	2164	2164	Methanobacterium sp.		bog_42	latest	Scaffold	Major	Full	2018/05/18	20111000_S2D	Australian Centre for Ecogenomics, The University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/134/315/GCA_003134315.1_20111000_S2D	derived from metagenome	
GCA_003138775.1	PRJNA386568	SAMN08179192	PLHB00000000.1	na	2164	2164	Methanobacterium sp.		bog_37	latest	Scaffold	Major	Full	2018/05/18	20110800_S2D	Australian Centre for Ecogenomics, The University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/138/775/GCA_003138775.1_20110800_S2D	derived from metagenome	
GCA_003141035.1	PRJNA386568	SAMN08180185	PLKI00000000.1	na	2164	2164	Methanobacterium sp.		bog_82	latest	Scaffold	Major	Full	2018/05/18	20120800_S1D	Australian Centre for Ecogenomics, The University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/035/GCA_003141035.1_20120800_S1D	derived from metagenome	
GCA_003151535.1	PRJNA386568	SAMN08179891	PLXT00000000.1	na	2164	2164	Methanobacterium sp.		palsa_68	latest	Scaffold	Major	Full	2018/05/24	20120700_P3D	Australian Centre for Ecogenomics, The University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/535/GCA_003151535.1_20120700_P3D	derived from metagenome	
GCA_003153815.1	PRJNA386568	SAMN08179796	PMBJ00000000.1	na	2164	2164	Methanobacterium sp.		fen_67	latest	Scaffold	Major	Full	2018/05/24	20120700_E3M	Australian Centre for Ecogenomics, The University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/153/815/GCA_003153815.1_20120700_E3M	derived from metagenome	
GCA_003157375.1	PRJNA386568	SAMN08179583	PMJI00000000.1	na	2164	2164	Methanobacterium sp.		fen_50	latest	Scaffold	Major	Full	2018/05/24	20120600_E2D	Australian Centre for Ecogenomics, The University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/375/GCA_003157375.1_20120600_E2D	derived from metagenome	
